Celebrity,Professional,Dance,Song,Series,Week,Order,Craig,Arlene,Len,Bruno,Alesha,Darcey,Jennifer,Donny,Total
Jamelia,Tristan MacManus,Charleston,Straight Up,13,4,7,8,0,8,8,0,8,0,0,32
Jay McGuiness,Aliona Vilani,Quickstep,My Generation,13,4,8,5,0,6,7,0,7,0,0,25
Carol Kirkwood,Pasha Kovalev,Paso doble,Espana Cani,13,4,9,5,0,6,5,0,6,0,0,22
Ainsley Harriott,Natalie Lowe,Waltz,What A Wonderful World,13,4,10,6,0,7,6,0,7,0,0,26
Helen George,Aljaž Skorjanec,Salsa,Doctor Beat,13,4,11,8,0,8,8,0,8,0,0,32
Peter Andre,Janette Manrara,Tango,Blue Monday,13,4,12,8,0,8,8,0,8,0,0,32
Katie Derham,Anton du Beke,Viennese Waltz,If I Can Dream,13,4,13,8,0,8,8,0,9,0,0,33
Georgia May Foote,Giovanni Pernice,Salsa,You Make Me Feel (Mighty Real),13,5,1,7,0,8,8,0,8,0,0,31
Carol Kirkwood,Pasha Kovalev,Viennese Waltz,I've Been Loving You Too Long,13,5,2,4,0,6,5,0,6,0,0,21
Anita Rani,Gleb Savchenko,Tango,Sweet Disposition,13,5,3,8,0,8,8,0,8,0,0,32
Peter Andre,Janette Manrara,Rumba,Thinking Out Loud,13,5,4,7,0,8,7,0,7,0,0,29
Kirsty Gallacher,Brendan Cole,Viennese Waltz,This Year's Love,13,5,5,7,0,8,7,0,7,0,0,29
Ainsley Harriott,Natalie Lowe,Jive,"Shake, Rattle and Roll",13,5,6,4,0,6,5,0,6,0,0,21
Jamelia,Tristan MacManus,Foxtrot,Because You Loved Me,13,5,7,5,0,7,7,0,7,0,0,26
Katie Derham,Anton du Beke,Salsa,It Had Better Be Tonight,13,5,8,4,0,6,5,0,6,0,0,21
Jeremy Vine,Karen Clifton,Waltz,She,13,5,9,3,0,6,4,0,5,0,0,18
Helen George,Aljaž Skorjanec,Quickstep,You Can't Hurry Love,13,5,10,9,0,8,9,0,9,0,0,35
Jay McGuiness,Aliona Vilani,Paso doble,It's My Life,13,5,11,8,0,8,8,0,9,0,0,33
Kellie Bright,Kevin Clifton,Jive,One Way Or Another,13,5,12,8,0,9,9,0,9,0,0,35
Katie Derham,Anton du Beke,Paso doble,The Phantom Of The Opera,13,6,1,4,0,6,6,0,5,0,0,21
Kirsty Gallacher,Brendan Cole,Charleston,Bad Romance,13,6,2,3,0,5,5,0,4,0,0,17
Jeremy Vine,Karen Clifton,Salsa,Thriller,13,6,3,4,0,6,6,0,6,0,0,22
Anita Rani,Gleb Savchenko,Waltz,Once Upon A Dream,13,6,4,6,0,8,8,0,7,0,0,29
Jamelia,Tristan MacManus,Jive,The Time Warp,13,6,5,6,0,6,7,0,7,0,0,26
Jay McGuiness,Aliona Vilani,American Smooth,Li'l Red Riding Hood,13,6,6,8,0,9,8,0,9,0,0,34
Kellie Bright,Kevin Clifton,Paso doble,School's Out,13,6,7,7,0,7,7,0,7,0,0,28
Carol Kirkwood,Pasha Kovalev,Rumba,I Think I Love You,13,6,8,2,0,4,4,0,3,0,0,13
Georgia May Foote,Giovanni Pernice,Tango,Ghostbusters,13,6,9,8,0,9,9,0,9,0,0,35
Peter Andre,Janette Manrara,Foxtrot,Ghost,13,6,10,7,0,7,7,0,7,0,0,28
Helen George,Aljaž Skorjanec,Samba,Take Your Mama,13,6,11,8,0,9,8,0,9,0,0,34
