Celebrity,Professional,Dance,Song,Series,Week,Order,Craig,Arlene,Len,Bruno,Alesha,Darcey,Jennifer,Donny,Total
Lesley Joseph,Anton du Beke,Tango,Whatever Lola Wants,14,5,2,5,0,7,6,0,6,0,0,24
Greg Rutherford,Natalie Lowe,Cha-cha-cha,We Found Love,14,5,3,4,0,7,7,0,6,0,0,24
Anastacia,Gorka Márquez,Quickstep,My Kind Of Town,14,5,4,7,0,8,8,0,7,0,0,30
Louise Redknapp,Kevin Clifton,Rumba,Always On My Mind,14,5,5,8,0,8,9,0,8,0,0,33
Ed Balls,Katya Jones,American Smooth,(Is This The Way To) Amarillo,14,5,6,2,0,6,4,0,6,0,0,18
Ore Oduba,Joanne Clifton,Waltz,I Will Always Love You,14,5,7,9,0,9,9,0,9,0,0,36
Daisy Lowe,Aljaž Skorjanec,Charleston,Happy Feet,14,5,8,8,0,8,8,0,8,0,0,32
Danny Mac,Oti Mabuse,Rumba,How Will I Know,14,5,9,8,0,9,9,0,9,0,0,35
Claudia Fragapane,AJ Pritchard,Samba,Young Hearts Run Free,14,5,10,8,0,8,9,0,7,0,0,32
Laura Whitmore,Giovanni Pernice,Jive,Reet Petite,14,5,11,0,0,0,0,0,0,0,0,0
Louise Redknapp,Kevin Clifton,Charleston,Crazy In Love,14,6,1,8,0,9,9,0,9,0,0,35
Judge Rinder,Oksana Platero,Paso doble,Born This Way,14,6,2,8,0,8,8,0,8,0,0,32
Claudia Fragapane,AJ Pritchard,American Smooth,Black Magic,14,6,3,9,0,9,9,0,9,0,0,36
Anastacia,Brendan Cole,Jive,Bat Out Of Hell,14,6,4,4,0,7,7,0,7,0,0,25
Danny Mac,Oti Mabuse,Foxtrot,Take Me To Church,14,6,5,7,0,7,8,0,8,0,0,30
Laura Whitmore,Giovanni Pernice,Tango,Paint It Black,14,6,6,9,0,9,9,0,9,0,0,36
Ore Oduba,Joanne Clifton,Charleston,I Want Candy,14,6,7,6,0,9,9,0,8,0,0,32
Greg Rutherford,Natalie Lowe,Rumba,Bring Me To Life,14,6,8,4,0,7,8,0,7,0,0,26
Daisy Lowe,Aljaž Skorjanec,Paso doble,Don't Let Me Be Misunderstood,14,6,9,8,0,8,9,0,8,0,0,33
Ed Balls,Katya Jones,Cha-cha-cha,Love Potion No. 9,14,6,10,4,0,7,8,0,7,0,0,26
Danny Mac,Oti Mabuse,Jive,Long Tall Sally,14,7,1,9,0,9,10,0,10,0,0,38
Daisy Lowe,Aljaž Skorjanec,Viennese Waltz,Daisy Bell,14,7,2,8,0,9,9,0,8,0,0,34
Ore Oduba,Joanne Clifton,Salsa,Turn The Beat Around,14,7,3,8,0,9,9,0,8,0,0,34
Ed Balls,Katya Jones,Quickstep,Help!,14,7,4,6,0,7,7,0,7,0,0,27
Laura Whitmore,Giovanni Pernice,Samba,Bambaleo,14,7,5,7,0,8,9,0,8,0,0,32
Judge Rinder,Oksana Platero,Quickstep,It Don't Mean A Thing (If It Ain't Got That Swing),14,7,6,8,0,8,8,0,9,0,0,33
Louise Redknapp,Kevin Clifton,Argentine Tango,Tanguera,14,7,7,9,0,10,10,0,10,0,0,39
Greg Rutherford,Natalie Lowe,Viennese Waltz,You Don't Own Me,14,7,8,8,0,8,8,0,8,0,0,32
Claudia Fragapane,AJ Pritchard,Paso doble,Shut Up And Dance,14,7,9,8,0,8,9,0,8,0,0,33
Daisy Lowe,Aljaž Skorjanec,Salsa,Groove Is In The Heart,14,8,1,7,0,8,8,0,8,0,0,31
Greg Rutherford,Natalie Lowe,Paso doble,Tamacun,14,8,2,7,0,8,8,0,8,0,0,31
Judge Rinder,Oksana Platero,Foxtrot,You Make Me Feel So Young,14,8,3,7,0,9,8,0,9,0,0,33
Ore Oduba,Joanne Clifton,Rumba,Ordinary People,14,8,4,8,0,9,9,0,9,0,0,35
Ed Balls,Katya Jones,Salsa,Gangnam Style,14,8,5,4,0,8,6,0,7,0,0,25
Claudia Fragapane,AJ Pritchard,Viennese Waltz,Breakaway,14,8,6,9,0,9,9,0,9,0,0,36
Danny Mac,Oti Mabuse,Argentine Tango,I Heard It Through The Grapevine,14,8,7,9,0,10,10,0,9,0,0,38
Louise Redknapp,Kevin Clifton,American Smooth,Big Spender,14,8,8,9,0,9,10,0,9,0,0,37
Claudia Fragapane,AJ Pritchard,Jive,Hey Mickey,14,9,1,9,0,9,9,0,9,0,0,36
Ore Oduba,Joanne Clifton,Viennese Waltz,That's Life,14,9,2,8,0,10,10,0,10,0,0,38
Louise Redknapp,Kevin Clifton,Paso doble,Explosive,14,9,3,9,0,10,10,0,9,0,0,38
Danny Mac,Oti Mabuse,Charleston,Puttin' On The Ritz,14,9,4,10,0,10,10,0,10,0,0,40
Ed Balls,Katya Jones,Jive,Great Balls Of Fire,14,9,5,4,0,7,6,0,6,0,0,23
Greg Rutherford,Natalie Lowe,Quickstep,Hand Jive,14,9,6,8,0,8,8,0,8,0,0,32
Judge Rinder,Oksana Platero,Salsa,Spice Up Your Life,14,9,7,8,0,8,8,0,9,0,0,33
Danny Mac,Oti Mabuse,Samba,Magalenha,14,10,1,10,0,10,10,0,10,0,0,40
Ore Oduba,Joanne Clifton,Paso doble,Everybody Wants To Rule The World,14,10,2,8,0,9,10,0,9,0,0,36
Louise Redknapp,Kevin Clifton,Waltz,At This Moment,14,10,3,9,0,10,10,0,10,0,0,39
Judge Rinder,Oksana Platero,Rumba,Lean On Me,14,10,4,6,0,8,7,0,8,0,0,29
Ed Balls,Katya Jones,Tango,(I Can't Get No) Satisfaction,14,10,5,4,0,7,6,0,6,0,0,23
Claudia Fragapane,AJ Pritchard,Argentine Tango,Cry Me A River,14,10,6,9,0,9,9,0,9,0,0,36
Ore Oduba,Joanne Clifton,Foxtrot,Pure Imagination,14,11,1,9,0,9,9,0,9,0,0,36
Judge Rinder,Oksana Platero,Samba,Oh What A Night,14,11,2,7,0,8,8,0,8,0,0,31
Louise Redknapp,Kevin Clifton,Quickstep,The Deadwood Stage,14,11,3,9,0,9,10,0,9,0,0,37
Claudia Fragapane,AJ Pritchard,Salsa,I Just Can’t Wait To Be King,14,11,4,9,0,9,10,0,9,0,0,37
Danny Mac,Oti Mabuse,Tango,One Night Only,14,11,5,9,0,9,10,0,10,0,0,38
Louise Redknapp,Kevin Clifton,Tango,Glad All Over,14,12,1,9,0,9,10,0,9,0,0,37
Danny Mac,Oti Mabuse,Salsa,Vivir Mi Vida,14,12,2,9,0,9,10,0,9,0,0,37
Claudia Fragapane,AJ Pritchard,Rumba,Bleeding Love,14,12,3,8,0,9,9,0,9,0,0,35
Ore Oduba,Joanne Clifton,Quickstep,Are You Gonna Be My Girl?,14,12,4,8,0,10,10,0,10,0,0,38
Louise Redknapp,Kevin Clifton,Samba,Brazil,14,12,5,9,0,9,9,0,9,0,0,36
Danny Mac,Oti Mabuse,American Smooth,Misty Blue,14,12,6,10,0,10,10,0,9,0,0,39
Claudia Fragapane,AJ Pritchard,Quickstep,When You're Smiling,14,12,7,9,0,10,10,0,9,0,0,38
Ore Oduba,Joanne Clifton,Argentine Tango,Can't Get You Out Of My Head,14,12,8,9,0,10,10,0,10,0,0,39
Ore Oduba,Joanne Clifton,American Smooth,Singin' In The Rain,14,13,1,9,0,10,10,0,10,0,0,39
Louise Redknapp,Kevin Clifton,Cha-cha-cha,Flashdance … What A Feeling,14,13,2,9,0,10,10,0,9,0,0,38
Danny Mac,Oti Mabuse,Quickstep,I Won't Dance,14,13,3,9,0,9,9,0,9,0,0,36
Ore Oduba,Joanne Clifton,Show dance,I Got Rhythm,14,13,4,10,0,10,10,0,10,0,0,40
Louise Redknapp,Kevin Clifton,Show dance,One Moment In Time,14,13,5,9,0,10,10,0,9,0,0,38
Danny Mac,Oti Mabuse,Show dance,Set Fire To The Rain,14,13,6,10,0,10,10,0,10,0,0,40
Ore Oduba,Joanne Clifton,Jive,Runaway Baby,14,13,7,10,0,10,10,0,10,0,0,40
Louise Redknapp,Kevin Clifton,Argentine Tango,Tanguera,14,13,8,10,0,10,10,0,10,0,0,40
Danny Mac,Oti Mabuse,Samba,Magalenha,14,13,9,10,0,10,10,0,10,0,0,40
